# slug	section	url	status	sha256	bytes	content_type	fetched_at
abelson-sussman-sicp	13	https://web.mit.edu/6.001/6.037/sicp.pdf	ok	08709a87567d8311d6fd29c4f4a5386801153e71450e628c4a5a5d7e85feda8b	7416886	application/pdf	2026-07-30T23:38:55Z
aho-ganapathi-tjiang-code-generation-using-tree-matching-a	17	https://c9x.me/compile/bib/twig.pdf	ok	98877fce0dd63b05b615dcfe9eb70f2b31e85f75fcb0cd9815d31b7a3fc8e324	1874944	application/pdf	2026-07-30T23:39:24Z
aiken-wimmers-lakshman-soft-typing-with-conditional-types-	6	https://theory.stanford.edu/~aiken/publications/papers/popl94.pdf	ok	06f308415e154f48af5e3701c18916a5bdc56bb7c3ab2ce853e4599255cdd9d5	232318	application/pdf	2026-07-30T23:39:03Z
appel-simple-generational-garbage-collection-and-fast-allo	12	https://www.cs.princeton.edu/~appel/papers/143.pdf	ok	c415a3c639f13cde86bfad3d4d7874208406d97d763a416b5662143b3cf7525b	57016	application/pdf	2026-07-30T23:38:56Z
appel-ssa-is-functional-programming-1998	4	https://www.cs.princeton.edu/~appel/papers/ssafun.pdf	ok	c839eb9e80d0dae17952ac06b99bf8f14cd314219b5154c09eec5cc019dd5e76	171735	application/pdf	2026-07-30T23:38:55Z
bod-k-gupta-sarkar-abcd-eliminating-array-bounds-checks-on	8	https://www.classes.cs.uchicago.edu/archive/2006/spring/32630-1/papers/p321-bodik.pdf	ok	d30589f3906d63f04a26b81ad66eeeb5986d461ede8d5b9482f7563d57bbe941	306959	application/pdf	2026-07-30T23:39:01Z
braun-et-al-simple-and-efficient-construction-of-static-si	15	https://c9x.me/compile/bib/braun13cc.pdf	ok	01f0b6d558096c27c1f37f4b451b8c4932dc200cee4e86d07357f0dacf21aa6a	510104	application/pdf	2026-07-30T23:39:06Z
bruggeman-waddell-dybvig-representing-control-in-the-prese	3	https://web.archive.org/web/20050208193549id_/http://www.cs.indiana.edu/~dyb/pubs/call1cc.pdf	cached	abcc7ed3d4a35e2b7387e914db28e0c37a2a76b4da821c8fedba61e29da0745f	184334	-	2026-07-30T23:55:17Z
burger-waddell-dybvig-register-allocation-pldi-1995	11	https://web.archive.org/web/20050312122528id_/http://www.cs.indiana.edu/~dyb/pubs/Reg-Alloc-PLDI95.pdf	cached	b40b0797baca7a1062e1944d78ccc43a0d8f6514ed7f3f4dd10bf44f73b6b168	217517	-	2026-07-30T23:55:19Z
cartwright-fagan-soft-typing-retrospective	6	https://www.cs.rice.edu/~javaplt/papers/sigplan39-4.pdf	ok	352ba920d51c8d93c7a7d64c09751dc8288aa19474e0e9155476ea9b169865cc	2271539	application/pdf	2026-07-30T23:39:03Z
chambers-ungar-an-efficient-implementation-of-self-oopsla-	14	https://bibliography.selflanguage.org/_static/implementation.pdf	ok	7686b0cf9b301888f0c4ee740e52cf73b6d3c7c69c79314c122ab9893fd592a9	267373	application/pdf	2026-07-30T23:38:57Z
chambers-ungar-customization-optimizing-compiler-technolog	14	https://people.cs.umass.edu/~emery/classes/cmpsci710-spring2003/p146-chambers.pdf	ok	c2eb245cc6a57898ec59ba8907946bb5af152c7f4e7a09cbb88f32f4bd174a9b	1869865	application/pdf	2026-07-30T23:38:58Z
click-global-value-numbering-and-code-motion	16	https://c9x.me/compile/bib/click-gvn.pdf	ok	9b2fae161f346d545a85af481ce7f8b1e5921e77a4fa17ee373780249206aa23	1128911	application/pdf	2026-07-30T23:39:19Z
cooper-harvey-kennedy-a-simple-fast-dominance-algorithm	15	https://c9x.me/compile/bib/quickdom.pdf	ok	d1e8d53d56ee0f53d2d2acd0bfba29d56cd5e43364e9920a54ff5afc3b7d7999	407983	application/pdf	2026-07-30T23:39:09Z
cousot-cousot-abstract-interpretation-popl-1977	7	https://www.di.ens.fr/~cousot/COUSOTpapers/publications.www/CousotCousot-POPL-77-ACM-p238--252-1977.pdf	ok	5d2956eed13b2d40f6e15c2087fb870c3dea54a332fe46ee07cea608ca417238	941105	application/pdf	2026-07-30T23:39:01Z
cousot-halbwachs-automatic-discovery-of-linear-restraints-	7	https://www.di.ens.fr/~cousot/COUSOTpapers/publications.www/CousotHalbwachs-POPL-78-ACM-p84--97-1978.pdf	cached	0b1535e5220bca7333fd0f4be4beda2b219d0c7c25757995e54b39f349d70a9d	1348679	-	2026-07-30T23:52:05Z
cytron-ferrante-rosen-wegman-zadeck-efficiently-computing-	15	https://c9x.me/compile/bib/ssa.pdf	ok	d35b25e7f6aae71c77cb86c6880956f8c5129b79473d4cfa75f4a75843c887d9	1236270	application/pdf	2026-07-30T23:39:03Z
dybvig-et-al-bibop	12	https://web.archive.org/web/20050208204441id_/http://www.cs.indiana.edu/~dyb/pubs/bibop.pdf	cached	3cd360e5835df6081df2a004b1a16829fe871a2dd6998df5813a54ee1729986f	164137	-	2026-07-30T23:55:20Z
dybvig-et-al-the-development-of-chez-scheme-icfp-2006	1	https://web.archive.org/web/20061205234158id_/http://www.cs.indiana.edu/~dyb/pubs/hocs.pdf	cached	4e7865558912466bbaa6aa11ea1e216db3b1c6e02a9eec134d33c9db4e80e908	109836	-	2026-07-30T23:55:14Z
dybvig-three-implementation-models-for-scheme-1987	1	https://web.archive.org/web/20050208204106id_/http://www.cs.indiana.edu:80/~dyb/pubs/3imp.pdf	cached	0ac8be77a069b651ccd02249a092dcd651941057548edc3ffc8ec2c54ea14f7f	504560	-	2026-07-30T23:55:13Z
flanagan-sabry-duba-felleisen-the-essence-of-compiling-wit	4	https://users.soe.ucsc.edu/~cormac/papers/pldi93.pdf	ok	31d182ef43031f102748c3f5606cb8d6906632c750dbd037e311cc920867f17d	262669	application/pdf	2026-07-30T23:38:56Z
fraser-hanson-proebsting-engineering-a-simple-efficient-co	17	https://c9x.me/compile/bib/iburg.pdf	ok	9dfcea540d2dbef0a4245e1157467c4fb0e2f170cd0d9454fe8f460dddeb47bc	160477	application/pdf	2026-07-30T23:39:26Z
george-appel-iterated-register-coalescing-toplas-1996	18	https://c9x.me/compile/bib/irc.pdf	ok	84d781daef66b2d2e0193c498f2f7bf573537b16c500178704c0bcaccdd39067	273501	application/pdf	2026-07-30T23:39:29Z
ghuloum-an-incremental-approach-to-compiler-construction-2	1	http://scheme2006.cs.uchicago.edu/11-ghuloum.pdf	ok	643a428b34248da898c82ea7bde4a9126a6f975165ba6d29c2b700bdd798cd83	595682	application/pdf	2026-07-30T23:39:00Z
h-lzle-ungar-optimizing-dynamically-dispatched-calls-with-	14	https://bibliography.selflanguage.org/_static/type-feedback.pdf	ok	93c4747f10ad78450a8ad89e7a4669774a0181d25734ce2f36acdcac8f5deaef	178008	application/pdf	2026-07-30T23:38:59Z
hieb-dybvig-bruggeman-representing-control-in-the-presence	3	https://web.archive.org/web/20041107141004id_/http://www.cs.indiana.edu/~dyb/pubs/stack.pdf	cached	a9eec86bd406d1137a4c40538470dd0018f86c3567f699ceb9b7bb50caad67f1	186966	-	2026-07-30T23:55:16Z
keep-a-nanopass-framework-for-commercial-compiler-developm	2	https://andykeep.com/pubs/dissertation.pdf	ok	cd975747873624c3df608f5795d67fd497cc7ff3358a931e0b5db19f0bae6b9d	799266	application/pdf	2026-07-30T23:38:58Z
keep-dybvig-nanopass-preprint	2	https://andykeep.com/pubs/np-preprint.pdf	ok	0055457ac637cd465dd84c72f6306a00228cd5e809b8d0c86eb9c53f5bd7ffd8	154686	application/pdf	2026-07-30T23:39:00Z
keep-hearn-dybvig-optimizing-closures-in-o-0-time	5	https://andykeep.com/pubs/scheme-12a.pdf	cached	43aff047fd817f657a01d4a39cbcd1b8535080ae413cf42672de48bda103a722	118034	-	2026-07-30T23:55:12Z
larsen-amarasinghe-exploiting-superword-level-parallelism-	9	https://groups.csail.mit.edu/cag/slp/SLP-PLDI-2000.pdf	ok	3d07f68e65d867e1406febdd26ef1f8253dc115a22082b8265c75a396d8827e4	241529	application/pdf	2026-07-30T23:38:57Z
lattner-adve-llvm-a-compilation-framework-for-lifelong-pro	20	https://llvm.org/pubs/2004-01-30-CGO-LLVM.pdf	ok	0352543b42fca1c88c3a74b3223a9da68f686435a64d3321450bda4655e4965c	206829	application/pdf	2026-07-30T23:39:01Z
leroy-unboxed-objects-and-polymorphic-typing-popl-1992	10	https://xavierleroy.org/publi/unboxed-polymorphism.pdf	ok	74f1b2d4844a87c494e6359406d264fd95923dda0372f50af392b7f85b0756e0	190320	application/pdf	2026-07-30T23:38:56Z
logozzo-f-hndrich-pentagons-2008-2010	7	https://web.archive.org/web/2020/https://www.microsoft.com/en-us/research/wp-content/uploads/2009/01/pentagons.pdf	ok	0353f05783d66fc94b70aea36265a8c40c1907c62cff4d7204afa85f89b81d16	339052	application/pdf	2026-07-30T23:39:02Z
mine-octagon-abstract-domain-hosc-2006	7	https://web.archive.org/web/20170829060101if_/https://www-apr.lip6.fr/~mine/publi/article-mine-HOSC06.pdf	cached	dd5f52c1c492f0dad50778a3599454b009c7768d7d88c6017e55ccd8e893effa	611871	-	2026-07-30T23:51:38Z
mine-octagon-ast-2001	7	https://arxiv.org/pdf/cs/0703084	cached	cab127983caad8dde79f1a6e8f7743080be02c35f4eb15e341fee1ea2e7096b7	212016	-	2026-07-30T23:51:35Z
