# slug	section	url
# The four MIT AI Lab memos resolve through the DSpace 7 REST API, not the
# handle. A handle URL answers 202 with an HTML landing page. Walk
# /server/api/pid/find?id=hdl:1721.1/<id> to the ORIGINAL bundle and take the
# bitstream content link.
sussman-steele-scheme-an-interpreter-for-extended-lambda-c	1	https://dspace.mit.edu/server/api/core/bitstreams/70ab0fe6-0e7a-41ef-99fb-ac2c9481a05e/content
steele-sussman-lambda-the-ultimate-imperative-1976	1	https://dspace.mit.edu/server/api/core/bitstreams/9c2034d7-786c-4a93-bae9-d4e2dc5f1b17/content
steele-lambda-the-ultimate-declarative-1976	1	https://dspace.mit.edu/server/api/core/bitstreams/9faf11a4-9c0e-4870-a650-8d0cf29c68af/content
steele-rabbit-a-compiler-for-scheme-1978	1	https://dspace.mit.edu/server/api/core/bitstreams/2b2eba0e-c065-4999-90ef-e08a811d7475/content
ghuloum-an-incremental-approach-to-compiler-construction-2	1	http://scheme2006.cs.uchicago.edu/11-ghuloum.pdf
keep-a-nanopass-framework-for-commercial-compiler-developm	2	https://andykeep.com/pubs/dissertation.pdf
keep-dybvig-nanopass-preprint	2	https://andykeep.com/pubs/np-preprint.pdf
flanagan-sabry-duba-felleisen-the-essence-of-compiling-wit	4	https://users.soe.ucsc.edu/~cormac/papers/pldi93.pdf
appel-ssa-is-functional-programming-1998	4	https://www.cs.princeton.edu/~appel/papers/ssafun.pdf
shivers-control-flow-analysis-of-higher-order-languages-19	6	https://www.ccs.neu.edu/home/shivers/papers/diss.pdf
cartwright-fagan-soft-typing-retrospective	6	https://www.cs.rice.edu/~javaplt/papers/sigplan39-4.pdf
aiken-wimmers-lakshman-soft-typing-with-conditional-types-	6	https://theory.stanford.edu/~aiken/publications/papers/popl94.pdf
cousot-cousot-abstract-interpretation-popl-1977	7	https://www.di.ens.fr/~cousot/COUSOTpapers/publications.www/CousotCousot-POPL-77-ACM-p238--252-1977.pdf
mine-octagon-ast-2001	7	https://arxiv.org/pdf/cs/0703084
logozzo-f-hndrich-pentagons-2008-2010	7	https://web.archive.org/web/2020/https://www.microsoft.com/en-us/research/wp-content/uploads/2009/01/pentagons.pdf
bod-k-gupta-sarkar-abcd-eliminating-array-bounds-checks-on	8	https://www.classes.cs.uchicago.edu/archive/2006/spring/32630-1/papers/p321-bodik.pdf
larsen-amarasinghe-exploiting-superword-level-parallelism-	9	https://groups.csail.mit.edu/cag/slp/SLP-PLDI-2000.pdf
leroy-unboxed-objects-and-polymorphic-typing-popl-1992	10	https://xavierleroy.org/publi/unboxed-polymorphism.pdf
serrano-weis-bigloo-a-portable-and-optimizing-compiler-for	10	https://www-sop.inria.fr/members/Manuel.Serrano/publi/serrano-sac95.pdf
poletto-sarkar-linear-scan-register-allocation-toplas-1999	11	https://web.cs.ucla.edu/~palsberg/course/cs132/linearscan.pdf
appel-simple-generational-garbage-collection-and-fast-allo	12	https://www.cs.princeton.edu/~appel/papers/143.pdf
abelson-sussman-sicp	13	https://web.mit.edu/6.001/6.037/sicp.pdf
chambers-ungar-an-efficient-implementation-of-self-oopsla-	14	https://bibliography.selflanguage.org/_static/implementation.pdf
h-lzle-ungar-optimizing-dynamically-dispatched-calls-with-	14	https://bibliography.selflanguage.org/_static/type-feedback.pdf
chambers-ungar-customization-optimizing-compiler-technolog	14	https://people.cs.umass.edu/~emery/classes/cmpsci710-spring2003/p146-chambers.pdf
cytron-ferrante-rosen-wegman-zadeck-efficiently-computing-	15	https://c9x.me/compile/bib/ssa.pdf
same-mirror	15	https://www.cs.utexas.edu/~pingali/CS380C/2010/papers/ssaCytron.pdf
braun-et-al-simple-and-efficient-construction-of-static-si	15	https://c9x.me/compile/bib/braun13cc.pdf
cooper-harvey-kennedy-a-simple-fast-dominance-algorithm	15	https://c9x.me/compile/bib/quickdom.pdf
rastello-et-al-ssa-based-compiler-design-the-ssa-book	15	https://pfalcon.github.io/ssabook/latest/book-full.pdf
wegman-zadeck-constant-propagation-with-conditional-branch	16	https://c9x.me/compile/bib/constpropssa.pdf
click-global-value-numbering-and-code-motion	16	https://c9x.me/compile/bib/click-gvn.pdf
aho-ganapathi-tjiang-code-generation-using-tree-matching-a	17	https://c9x.me/compile/bib/twig.pdf
fraser-hanson-proebsting-engineering-a-simple-efficient-co	17	https://c9x.me/compile/bib/iburg.pdf
george-appel-iterated-register-coalescing-toplas-1996	18	https://c9x.me/compile/bib/irc.pdf
wimmer-franz-linear-scan-register-allocation-on-ssa-form-c	18	https://c9x.me/compile/bib/Wimmer10a.pdf
steensgaard-points-to-analysis-in-almost-linear-time-popl-	19	https://www.cs.cornell.edu/courses/cs711/2005fa/papers/steensgaard-popl96.pdf
lattner-adve-llvm-a-compilation-framework-for-lifelong-pro	20	https://llvm.org/pubs/2004-01-30-CGO-LLVM.pdf
willsey-et-al-egg-fast-and-extensible-equality-saturation-	20	https://arxiv.org/pdf/2004.03082
mine-octagon-abstract-domain-hosc-2006	7	https://web.archive.org/web/20170829060101if_/https://www-apr.lip6.fr/~mine/publi/article-mine-HOSC06.pdf
cousot-halbwachs-automatic-discovery-of-linear-restraints-	7	https://www.di.ens.fr/~cousot/COUSOTpapers/publications.www/CousotHalbwachs-POPL-78-ACM-p84--97-1978.pdf
dybvig-three-implementation-models-for-scheme-1987	1	https://web.archive.org/web/20050208204106id_/http://www.cs.indiana.edu:80/~dyb/pubs/3imp.pdf
dybvig-et-al-the-development-of-chez-scheme-icfp-2006	1	https://web.archive.org/web/20061205234158id_/http://www.cs.indiana.edu/~dyb/pubs/hocs.pdf
sarkar-waddell-dybvig-a-nanopass-infrastructure-for-compil	2	https://web.archive.org/web/20180922154152id_/http://www.cs.indiana.edu/~dyb/pubs/nano-jfp.pdf
hieb-dybvig-bruggeman-representing-control-in-the-presence	3	https://web.archive.org/web/20041107141004id_/http://www.cs.indiana.edu/~dyb/pubs/stack.pdf
bruggeman-waddell-dybvig-representing-control-in-the-prese	3	https://web.archive.org/web/20050208193549id_/http://www.cs.indiana.edu/~dyb/pubs/call1cc.pdf
waddell-dybvig-fast-and-effective-procedure-inlining-sas-1	5	https://web.archive.org/web/20041107121602id_/http://www.cs.indiana.edu/~dyb/pubs/inlining.pdf
keep-hearn-dybvig-optimizing-closures-in-o-0-time	5	https://andykeep.com/pubs/scheme-12a.pdf
burger-waddell-dybvig-register-allocation-pldi-1995	11	https://web.archive.org/web/20050312122528id_/http://www.cs.indiana.edu/~dyb/pubs/Reg-Alloc-PLDI95.pdf
dybvig-et-al-bibop	12	https://web.archive.org/web/20050208204441id_/http://www.cs.indiana.edu/~dyb/pubs/bibop.pdf
